time_min,episode,macro_updates,micro_updates,best_macro_fitness,best_micro_fitness,avg_reward,macro_width,macro_depth,micro_width,micro_depth,phase,phase_generation
99.53505388100942,90,9,90,22369.649171952045,27048.101012201263,27048.101012201263,51,3,85,4,Master,15
100.48565223217011,91,10,91,22369.649171952045,27822.76666630034,27822.76666630034,51,3,85,4,Master,16
101.43644613027573,92,10,92,24703.379718020504,27170.502325539645,27170.502325539645,51,3,85,4,Master,17
102.21847018003464,93,10,93,24703.379718020504,27165.273536723827,27165.273536723827,51,3,85,4,Master,18
102.97147938013077,94,10,94,24703.379718020504,28112.349650206368,28112.349650206368,51,3,85,4,Master,19
103.72830281257629,95,10,95,24703.379718020504,28582.851948760963,28582.851948760963,51,3,85,4,Master,20
104.50558556318283,96,10,96,24703.379718020504,29232.097118557904,29232.097118557904,51,3,85,4,Master,21
105.24013559818268,97,10,97,24703.379718020504,27376.10441274137,27376.10441274137,51,3,85,3,Master,22
106.01831012964249,98,10,98,24703.379718020504,27948.06611361869,27948.06611361869,51,3,85,3,Master,23
106.76420804659526,99,10,99,24703.379718020504,28052.09375209927,28052.09375209927,51,3,85,5,Master,24
107.49123211304347,100,10,100,24703.379718020504,29180.502126969026,29180.502126969026,51,3,85,5,Master,25
